study_number;prompt_number;answer
5;1;1
5;2;NA
5;3;1
5;4;0
5;5;1
5;6;0
5;8;0
5;9;0
5;10;1
5;11;1
5;12;0
5;7;1
13;1;0
13;2;1
13;3;1
13;4;1
13;5;0
13;6;0
13;8;0
13;9;0
13;10;0
13;11;1
13;12;0
13;7;1
19;1;0
19;2;1
19;3;1
19;4;1
19;5;1
19;6;0
19;8;0
19;9;0
19;10;0
19;11;1
19;12;0
19;7;0
31;1;0
31;2;1
31;3;1
31;4;0
31;5;0
31;6;0
31;8;0
31;9;0
31;10;0
31;11;0
31;12;0
31;7;0
54;1;0
54;2;1
54;3;1
54;4;1
54;5;1
54;6;0
54;8;0
54;9;0
54;10;0
54;11;1
54;12;0
54;7;1
94;1;0
94;2;NA
94;3;NA
94;4;NA
94;5;1
94;6;1
94;8;0
94;9;0
94;10;0
94;11;1
94;12;0
94;7;NA
98;1;0
98;2;1
98;3;1
98;4;0
98;5;0
98;6;0
98;8;0
98;9;1
98;10;0
98;11;0
98;12;0
98;7;0
100;1;0
100;2;NA
100;3;NA
100;4;0
100;5;1
100;6;0
100;8;0
100;9;0
100;10;0
100;11;1
100;12;0
100;7;0
110;1;1
110;2;0
110;3;NA
110;4;0
110;5;1
110;6;0
110;8;1
110;9;1
110;10;1
110;11;0
110;12;0
110;7;1
124;1;0
124;2;1
124;3;1
124;4;1
124;5;0
124;6;0
124;8;0
124;9;0
124;10;0
124;11;1
124;12;0
124;7;0
125;1;0
125;2;1
125;3;0
125;4;1
125;5;0
125;6;0
125;8;0
125;9;0
125;10;0
125;11;1
125;12;0
125;7;1
129;1;0
129;2;1
129;3;1
129;4;1
129;5;0
129;6;0
129;8;0
129;9;0
129;10;1
129;11;1
129;12;0
129;7;1
172;1;1
172;2;1
172;3;1
172;4;1
172;5;0
172;6;0
172;8;0
172;9;0
172;10;0
172;11;1
172;12;0
172;7;0
191;1;0
191;2;1
191;3;1
191;4;0
191;5;0
191;6;0
191;8;0
191;9;0
191;10;0
191;11;1
191;12;0
191;7;0
214;1;NA
214;2;NA
214;3;0
214;4;0
214;5;0
214;6;0
214;8;0
214;9;0
214;10;1
214;11;1
214;12;0
214;7;NA
223;1;0
223;2;NA
223;3;NA
223;4;1
223;5;1
223;6;0
223;8;0
223;9;0
223;10;0
223;11;1
223;12;0
223;7;0
226;1;0
226;2;1
226;3;1
226;4;1
226;5;0
226;6;0
226;8;0
226;9;1
226;10;0
226;11;1
226;12;0
226;7;0
280;1;0
280;2;1
280;3;0
280;4;1
280;5;1
280;6;1
280;8;0
280;9;0
280;10;0
280;11;1
280;12;0
280;7;0
317;1;NA
317;2;NA
317;3;NA
317;4;NA
317;5;NA
317;6;NA
317;8;NA
317;9;NA
317;10;NA
317;11;NA
317;12;NA
317;7;NA
379;1;0
379;2;1
379;3;1
379;4;NA
379;5;0
379;6;0
379;8;0
379;9;0
379;10;1
379;11;1
379;12;0
379;7;0
400;1;0
400;2;0
400;3;0
400;4;0
400;5;1
400;6;0
400;8;1
400;9;0
400;10;1
400;11;1
400;12;1
400;7;1
424;1;0
424;2;1
424;3;1
424;4;1
424;5;0
424;6;0
424;8;0
424;9;0
424;10;0
424;11;1
424;12;0
424;7;0
435;1;0
435;2;NA
435;3;NA
435;4;1
435;5;1
435;6;1
435;8;0
435;9;0
435;10;1
435;11;NA
435;12;0
435;7;1
480;1;0
480;2;NA
480;3;NA
480;4;0
480;5;0
480;6;0
480;8;0
480;9;0
480;10;0
480;11;0
480;12;0
480;7;0
491;1;0
491;2;1
491;3;1
491;4;1
491;5;1
491;6;0
491;8;0
491;9;0
491;10;1
491;11;NA
491;12;0
491;7;1
535;1;0
535;2;1
535;3;1
535;4;1
535;5;0
535;6;0
535;8;0
535;9;1
535;10;0
535;11;1
535;12;0
535;7;0
541;1;0
541;2;NA
541;3;NA
541;4;0
541;5;1
541;6;0
541;8;0
541;9;0
541;10;0
541;11;1
541;12;0
541;7;1
646;1;1
646;2;0
646;3;1
646;4;0
646;5;1
646;6;0
646;8;1
646;9;1
646;10;1
646;11;1
646;12;0
646;7;1
665;1;NA
665;2;NA
665;3;0
665;4;0
665;5;1
665;6;0
665;8;0
665;9;1
665;10;1
665;11;1
665;12;1
665;7;1
705;1;NA
705;2;NA
705;3;NA
705;4;NA
705;5;NA
705;6;NA
705;8;NA
705;9;NA
705;10;NA
705;11;NA
705;12;NA
705;7;NA
714;1;0
714;2;1
714;3;1
714;4;1
714;5;0
714;6;0
714;8;0
714;9;0
714;10;1
714;11;1
714;12;0
714;7;1
732;1;0
732;2;NA
732;3;NA
732;4;0
732;5;0
732;6;0
732;8;0
732;9;1
732;10;0
732;11;1
732;12;0
732;7;0
760;1;0
760;2;1
760;3;1
760;4;1
760;5;0
760;6;0
760;8;0
760;9;0
760;10;0
760;11;1
760;12;0
760;7;0
819;1;0
819;2;NA
819;3;NA
819;4;1
819;5;0
819;6;0
819;8;0
819;9;0
819;10;0
819;11;NA
819;12;0
819;7;1
827;1;NA
827;2;NA
827;3;NA
827;4;NA
827;5;NA
827;6;NA
827;8;NA
827;9;NA
827;10;NA
827;11;NA
827;12;NA
827;7;NA
837;1;0
837;2;1
837;3;1
837;4;0
837;5;0
837;6;0
837;8;0
837;9;0
837;10;0
837;11;NA
837;12;0
837;7;0
887;1;0
887;2;1
887;3;1
887;4;0
887;5;0
887;6;0
887;8;0
887;9;0
887;10;0
887;11;0
887;12;0
887;7;0
891;1;0
891;2;1
891;3;1
891;4;0
891;5;0
891;6;0
891;8;1
891;9;0
891;10;1
891;11;0
891;12;0
891;7;0
935;1;0
935;2;1
935;3;1
935;4;0
935;5;0
935;6;0
935;8;0
935;9;0
935;10;0
935;11;1
935;12;0
935;7;0
