study_number;prompt_number;run1;run2;run3
5;1;0;0;0
5;2;1;1;1
5;3;0;0;0
5;4;1;1;1
5;5;1;1;1
5;6;1;1;1
5;7a;1;1;1
5;7b;0;1;0
5;7c;1;1;1
5;8;1;1;1
5;9;1;1;1
5;10;1;1;0
5;11;0;1;0
5;12;1;1;1
13;1;1;1;1
13;2;0;0;0
13;3;0;0;0
13;4;1;1;1
13;5;1;1;1
13;6;1;1;1
13;7a;1;1;1
13;7b;1;0;1
13;7c;1;1;1
13;8;1;1;1
13;9;1;1;1
13;10;1;1;1
13;11;0;0;0
13;12;1;1;1
94;1;1;1;1
94;2;0;0;0
94;3;0;0;0
94;4;1;1;1
94;5;0;1;0
94;6;1;1;1
94;7a;1;0;1
94;7b;0;0;0
94;7c;1;0;1
94;8;1;1;1
94;9;1;1;1
94;10;0;0;0
94;11;0;0;0
94;12;1;1;1
100;1;1;1;1
100;2;0;0;0
100;3;0;0;0
100;4;1;1;1
100;5;1;1;1
100;6;1;1;1
100;7a;1;1;1
100;7b;0;0;1
100;7c;1;1;1
100;8;1;1;1
100;9;1;1;1
100;10;1;1;1
100;11;0;0;0
100;12;1;1;1
110;1;0;0;0
110;2;1;1;1
110;3;0;0;0
110;4;1;1;1
110;5;1;1;1
110;6;1;1;1
110;7a;1;1;1
110;7b;0;1;0
110;7c;1;1;1
110;8;1;1;1
110;9;1;1;1
110;10;0;0;0
110;11;1;1;1
110;12;1;1;1
124;1;0;1;1
124;2;0;0;0
124;3;0;0;0
124;4;1;1;1
124;5;1;1;1
124;6;1;1;1
124;7a;1;1;1
124;7b;0;1;1
124;7c;1;1;1
124;8;1;1;1
124;9;1;1;1
124;10;1;0;1
124;11;0;0;0
124;12;1;1;1
214;1;0;0;0
214;2;0;0;0
214;3;1;1;1
214;4;1;1;1
214;5;1;1;1
214;6;1;1;1
214;7a;1;1;1
214;7b;0;1;1
214;7c;0;1;1
214;8;1;1;1
214;9;1;1;1
214;10;0;1;1
214;11;0;0;0
214;12;1;1;1
223;1;1;1;1
223;2;0;0;0
223;3;0;0;0
223;4;1;1;1
223;5;0;1;1
223;6;0;1;1
223;7a;1;1;1
223;7b;0;0;0
223;7c;0;1;1
223;8;0;1;1
223;9;0;1;1
223;10;0;0;1
223;11;0;0;0
223;12;0;1;1
317;1;0;0;0
317;2;0;0;0
317;3;0;0;0
317;4;1;1;1
317;5;0;0;0
317;6;1;1;1
317;7a;1;0;0
317;7b;0;0;0
317;7c;1;0;1
317;8;1;1;1
317;9;0;0;0
317;10;1;1;0
317;11;0;0;0
317;12;1;1;1
379;1;1;1;1
379;2;0;0;0
379;3;0;0;0
379;4;1;0;1
379;5;1;1;1
379;6;1;1;1
379;7a;1;0;1
379;7b;1;0;1
379;7c;1;0;1
379;8;1;0;1
379;9;1;0;1
379;10;1;0;0
379;11;0;0;0
379;12;1;0;1
424;1;1;1;1
424;2;0;0;0
424;3;0;0;0
424;4;1;1;1
424;5;1;1;1
424;6;1;1;1
424;7a;1;1;1
424;7b;0;0;1
424;7c;1;1;1
424;8;1;1;1
424;9;1;1;1
424;10;1;1;1
424;11;0;0;0
424;12;1;1;1
435;1;1;1;1
435;2;0;0;0
435;3;0;0;0
435;4;1;1;1
435;5;1;1;1
435;6;1;1;1
435;7a;0;0;0
435;7b;0;0;0
435;7c;0;0;0
435;8;1;1;1
435;9;1;1;1
435;10;0;0;1
435;11;0;0;0
435;12;1;1;1
480;1;1;1;1
480;2;0;0;0
480;3;0;0;0
480;4;1;1;1
480;5;1;1;1
480;6;1;1;1
480;7a;1;1;1
480;7b;1;1;1
480;7c;1;1;1
480;8;1;1;1
480;9;1;1;1
480;10;1;1;0
480;11;1;1;1
480;12;1;1;1
491;1;1;1;1
491;2;0;0;0
491;3;0;0;0
491;4;1;1;1
491;5;1;0;1
491;6;1;1;1
491;7a;1;1;1
491;7b;0;0;1
491;7c;1;1;1
491;8;1;1;1
491;9;1;1;1
491;10;1;0;0
491;11;1;1;1
491;12;1;1;1
541;1;1;1;1
541;2;0;0;0
541;3;0;0;0
541;4;1;1;1
541;5;1;1;1
541;6;1;1;1
541;7a;1;1;1
541;7b;0;0;0
541;7c;1;1;1
541;8;1;1;1
541;9;1;1;1
541;10;0;0;0
541;11;0;0;0
541;12;1;1;1
665;1;0;0;0
665;2;0;0;0
665;3;1;1;1
665;4;1;1;1
665;5;1;1;0
665;6;1;1;1
665;7a;1;1;1
665;7b;0;0;1
665;7c;1;1;1
665;8;1;1;1
665;9;1;0;0
665;10;0;0;0
665;11;0;0;0
665;12;1;1;0
705;1;0;0;0
705;2;0;0;0
705;3;0;0;0
705;4;1;1;1
705;5;1;1;1
705;6;1;1;1
705;7a;1;1;1
705;7b;0;0;1
705;7c;1;1;1
705;8;1;1;1
705;9;0;1;0
705;10;0;1;0
705;11;0;0;0
705;12;1;1;1
732;1;1;0;1
732;2;0;0;0
732;3;0;0;0
732;4;1;0;1
732;5;1;1;1
732;6;1;1;1
732;7a;1;0;1
732;7b;1;1;1
732;7c;1;1;1
732;8;1;1;1
732;9;1;0;1
732;10;1;0;1
732;11;0;0;1
732;12;1;0;0
819;1;1;1;1
819;2;0;0;0
819;3;0;0;0
819;4;1;1;1
819;5;1;1;1
819;6;1;1;1
819;7a;1;1;1
819;7b;0;1;0
819;7c;1;1;1
819;8;1;1;1
819;9;1;1;1
819;10;1;1;1
819;11;0;0;0
819;12;1;1;0
827;1;0;0;0
827;2;0;1;0
827;3;0;0;0
827;4;0;1;1
827;5;1;0;1
827;6;0;1;1
827;7a;1;1;1
827;7b;0;0;1
827;7c;0;1;1
827;8;0;1;1
827;9;0;1;0
827;10;0;0;0
827;11;0;0;0
827;12;1;1;1
19;1;1;1;1
19;2;0;0;0
19;3;0;0;0
19;4;1;1;1
19;5;0;1;1
19;6;1;1;1
19;7a;1;1;1
19;7b;1;1;1
19;7c;1;1;1
19;8;1;1;1
19;9;1;1;1
19;10;1;1;1
19;11;0;0;0
19;12;1;1;1
31;1;1;1;1
31;2;0;0;0
31;3;0;0;0
31;4;1;1;1
31;5;1;1;1
31;6;1;1;1
31;7a;1;1;1
31;7b;0;0;1
31;7c;1;1;1
31;8;1;1;1
31;9;1;1;1
31;10;1;1;1
31;11;1;1;1
31;12;1;1;1
54;1;1;1;1
54;2;0;0;0
54;3;0;0;0
54;4;1;1;1
54;5;1;1;1
54;6;1;1;1
54;7a;1;1;1
54;7b;0;0;0
54;7c;1;1;1
54;8;1;1;1
54;9;1;1;1
54;10;1;1;1
54;11;0;0;0
54;12;1;1;1
98;1;1;1;1
98;2;0;0;0
98;3;0;0;0
98;4;1;1;1
98;5;1;1;1
98;6;1;1;1
98;7a;1;1;1
98;7b;0;0;0
98;7c;1;1;1
98;8;1;1;1
98;9;1;1;1
98;10;1;1;1
98;11;0;0;0
98;12;1;1;1
125;1;1;1;1
125;2;1;1;1
125;3;1;1;1
125;4;1;1;1
125;5;1;1;1
125;6;1;1;1
125;7a;1;1;1
125;7b;0;0;0
125;7c;1;1;1
125;8;1;1;1
125;9;1;1;1
125;10;0;1;1
125;11;0;0;0
125;12;1;1;1
129;1;1;1;1
129;2;0;0;0
129;3;0;0;0
129;4;1;1;1
129;5;1;1;1
129;6;1;1;1
